Rank,Final Score,Pass 1 Text Score,Name,URL,Region,Village / Town,Google Maps Link,GPS,Tables Score (max 25),Common Room Score (max 25),Sleeping Comfort Score (max 20),Wellness Score (max 15),Facilities Score (max 15),Tables Confirmed by Vision,Verdict,Pros,Cons,Image Reasoning,Capacity Total,Regular Beds,Extra Beds,Bedrooms Count,Bedroom Layout,Bunk Beds Count,Toilets Count,Bathrooms Count,Showers Count,Has Sauna,Sauna Type,Has Hot Tub / Whirlpool,Has Pool,Beer Tap Available,Tables & Workspace Description,Table Seating Capacity,Common Room Size m2,Common Room Description,Fridges Count,Dishwashers Count,Kitchen Details,Wi-Fi Available,Parking Spaces,Exclusive Private Rental,Owner on Site Risk,Price Weekend CZK,Price Week CZK,Price Notes,Property ID,Source HTML File
26,85.0,77.5,Ubytování Pod Klepáčem,https://www.e-chalupy.cz/prostredni-lipka-ubytovani-pod-klepacem-chalupa-k-pronajmu-o12908,Orlické hory,Prostřední Lipka,"https://www.google.com/maps?q=50.101117778,16.754803333","50.101117778, 16.754803333",24.0,23.0,17.0,13.0,13.0,YES,"This property is an excellent fit for garage-trip.cz due to its massive common area and robust facilities. The combination of dedicated gaming space, large kitchen capacity, and private wellness amenities makes it highly suitable for a tech enthusiast retreat. It meets all critical requirements with high scores across the board.","• Extremely large common area perfect for workshops and gaming
• Fully equipped kitchen capable of feeding large groups
• Dedicated Finnish sauna and ample space for socializing
• High capacity (up to 31 guests) with private rooms/bathrooms","• The sleeping arrangement relies heavily on multiple smaller, separate bedrooms rather than one large open dorm style.
• While the common room is huge, the sheer number of individual bathrooms might be a logistical concern if all are used simultaneously.
• The description mentions mezzanines which could feel less comfortable for long-term group stays.","The photos show a very large common area (společenský prostor) with high ceilings and ample space for gathering. Multiple sturdy wooden tables are visible in the main room, along with numerous chairs, confirming suitability for workshops and gaming. The sauna photos confirm a dedicated Finnish sauna setup. The kitchen photo shows a fully equipped modern kitchen suitable for group cooking. Bedrooms appear to be well-appointed private rooms (though some may have mezzanines), suggesting good privacy.",31,25,6,5,"['Pokoje pro 4-6 osob (x3)', 'Mezonetové ložnice (x2)']",,5,5,5,YES,finnish,NO,NO,YES,"Velký společenský prostor pro zábavu (kulečník, šipky) s barem a terasou.",40,,"Stylový společenský prostor s kulečníkem, šipkami a stolním tenisem. Má vybavený bar a terasu.",,1,Vybavená kuchyň pro vaření pro větší počet osob. Obsahuje ledničku a myčku nádobí.,YES,8,YES,NO,15900,26900,Ceny jsou uvedeny pro letní sezónu. V zimní sezóně je cena vyšší (16900 Kč/víkend).,12908,prostredni-lipka-ubytovani-pod-klepacem-chalupa-k-pronajmu-o12908.html
27,85.0,76.0,Chalupa k pronájmu,https://www.e-chalupy.cz/chalupa-stare-purkartice-ubytovani-o18418,Jeseníky,Staré Purkartice,"https://www.google.com/maps?q=50.1250469,17.5363686","50.1250469, 17.5363686",24.0,23.0,17.0,13.0,12.0,YES,"This chalet is an excellent fit for a tech retreat due to its massive common room, multiple kitchen facilities, and high number of private bathrooms. While it lacks a dedicated sauna, the combination of space, amenities, and group capacity makes it highly recommended.","• Excellent common space for large groups (49m²)
• Multiple fully equipped kitchens and dining areas
• High number of private bathrooms/showers (11 WC, 9 koupelny)
• Includes a hot tub/pool and outdoor recreational area","• No dedicated sauna facility mentioned or visible in photos
• The property is large but the layout might require coordination for 25-30 people to feel cohesive
• Requires bringing own beer keg/tap setup (though possible)","The photos show a large common area (visible in '006' and '011') with multiple wooden tables and chairs suitable for group work or gaming. The kitchen is modern and well-equipped ('021'). The wellness area includes an outdoor pool/hot tub setup ('026'), confirming the high bonus feature. Bedrooms are shown to be spacious, often featuring en-suite bathrooms, which contributes positively to privacy.",28,24,4,9,"['Přízemí: Vstupní chodba, společenská místnost (49 m2), wellness místnost, kuchyň (10m²), 2 samostatná WC.', 'První patro: Otevřená obytná kuchyň (20m²), 5 ložnic:', 'Lohnice 1/ (12m²) s lůžkem, TV a koupelnou.', 'Lohnice 2/ dvojpokoj (24m²) s dvojlůžkem, lůžkem, TV a koupelnou.', 'Lohnice 3/ (17m²) s dvojlůžkem, lůžkem, TV a koupelnou.', 'Lohnice 4/ (13m²) se 2 lůžky, TV a koupelnou.', 'Lohnice 5/ dvojpokoj (24m²) s dvojlůžkem, lůžkem, TV a koupelnou.', 'Podkroví: Schody z obytné kuchyně. 4 ložnice:', 'Lohnice 1/ (40m²) s dvojlůžkem, 2 lůžky, TV a koupelnou.', 'Lohnice 2/ (21m²) s dvojlůžkem, TV a koupelou.', 'Lohnice 3/ (39m²) s dvojlůžkem, 2 lůžky, TV, koupelnou a samostatným WC.', 'Lohnice 4/ (21m²) s dvojlůžkem, TV a koupelou.']",0,11,9,9,NO,,YES,YES,YES,Ano,,49,"Společenská místnost (49 m2) s výbavou: stoly a židlemi, barovým pultem s výčepním zařízením (možnost přivést si vlastní sud piva nebo lima), piánem a TV.",2,1,"Dvě plně vybavené kuchyně. V kuchyni (10m²) jsou k dispozici: sklokeramická varná deska (4 varné jednotky), el. trouba, lednička, myčka na nádobí, mikrovlnná trouba, kávovar De Longhi a el. konvice.",YES,1,NO,NO,20000,42000,"Při nástupu je vyžadována kauce ve výši 5000 Kč, při objednání pobytu je vyžadována záloha ve výši 30%.",18418,chalupa-stare-purkartice-ubytovani-o18418.html
28,85.0,76.0,Chata k pronájmu,https://www.e-chalupy.cz/chata-moravsky-karlov-o4717,Orlické hory,Moravský Karlov,"https://www.google.com/maps?q=50.027603056,16.777745278","50.027603056, 16.777745278",25.0,23.0,16.0,14.0,12.0,YES,"This property is an excellent fit for garage-trip.cz due to its massive common area, dedicated gaming space, and comprehensive wellness facilities. The high capacity ensures no bottlenecks, making it ideal for a large tech retreat group.","• Excellent common room space with multiple tables and seating for large groups.
• High capacity (44 guests) ensures sufficient facilities for 25-35 people.
• Comprehensive amenities including sauna, hot tub/barrel, and heated pool area.
• Fully equipped kitchen suitable for catering to a large group.","• The sleeping arrangement is in 10 separate units, which might feel less communal than desired.
• While capacity is high, the ratio of private bathrooms (1 per unit) might be slightly spread out rather than centralized/modernized.
• The overall aesthetic and furniture style appear dated or very rustic.","The photos confirm a large common area (visible in '001' and '011') with ample space for gathering. The main room contains multiple tables suitable for laptops and board games, along with numerous chairs. The bedrooms are shown as private units ('026'), suggesting individual privacy. Wellness facilities include a visible sauna and hot tub/barrel (mentioned in the description). The kitchen is described as 'poloprofi' and appears well-equipped for large groups.",44,44,0,10,['10 separate bedrooms (each with private WC/shower)'],,10,10,10,YES,finnish,YES,YES,YES,Ample space for seating around tables in the common room.,,,"Large common room with a bar area, equipped with TV, ping pong, and board games.",4,2,"Fully equipped semi-professional kitchen with two large multi-function stoves, four refrigerators, and dishwashers.",YES,,YES,NO,31000,65000,Prices do not include energy or local recreation fees. Note that bedding is included only for weekly stays.,4717,chata-moravsky-karlov-o4717.html
29,85.0,76.0,Chata U Lanovky Kořenov,https://www.e-chalupy.cz/chata-u-lanovky-rejdice-ubytovani-o7109,Jizerské hory,Rejdice,"https://www.google.com/maps?q=50.735175,15.368489722","50.735175, 15.368489722",24.0,23.0,16.0,13.0,12.0,YES,"This property is highly suitable for garage-trip.cz due to its massive common area, multiple dining/work stations, and capacity for 35 people. The outdoor pool and excellent location compensate for the lack of an on-site sauna, making it a strong recommendation.","• Excellent common area with multiple large tables for workshops/gaming.
• High capacity (32 beds) suitable for large groups of 25-35 people.
• Located near ski resorts and outdoor activities (ideal for tech/gamer group bonding).
• Multiple fully equipped kitchens allow for self-catering meals.","• Lack of dedicated indoor sauna or hot tub on site (only an outdoor pool is visible).
• The sheer size and complexity might require coordination for a large group.
• Sleeping arrangements, while numerous, are spread across many rooms, which could be logistically challenging to manage.","The photos confirm a large common area (e.g., '004_kuchyn-ve-spolecenske-mistnosti.jpg' and '016_kuchyn-v-2-patre.jpg') with multiple dining/work tables and ample chairs, suitable for 25-30 people. The common room is well-equipped with kitchen facilities. Bedroom setups show a mix of large rooms (4-bed) and smaller private units, suggesting good privacy distribution. Wellness features include an outdoor pool ('005_bazen-prijde-v-lete-vhod.jpg') but no indoor sauna or hot tub is clearly visible in the provided images; however, the description mentions a 'sanou' (sauna) in the hotel nearby and general wellness options.",35,32,3,11,"['1x 4-bed', '2x 3-bed', '2x 2-bed', '1x 4-bed', '2x 2-bed', '1x 4-bed (mini kitchen/bath)', '1x 2-bed (mini bath)']",,5,3,3,NO,none,YES,YES,NO,Multiple equipped kitchens/dining areas are available; the main common area has large dining tables.,32,,Large common room with a kitchen corner and seating for 32 people. It also features an ornamental pond.,3,1,"Three fully equipped kitchens with dishwashers, plus a mini-kitchenette in one bedroom. Equipped for large groups.",YES,12,YES,NO,18000,6000,Pricing varies by season. The deposit is CZK 4000.,7109,chata-u-lanovky-rejdice-ubytovani-o7109.html
30,85.0,75.5,Chata U Mazliků,https://www.e-chalupy.cz/ubytovani-janov-nad-nisou-chata-u-mazliku-pronajmuti-o2180,Jizerské hory,Janov nad Nisou,"https://www.google.com/maps?q=50.779024722,15.172361389","50.779024722, 15.172361389",24.0,23.0,16.0,13.0,12.0,YES,"This chalet is an excellent choice for 'garage-trip.cz'. The common room and kitchen are exceptionally well-equipped for workshops, hacking sessions, and communal dining. While the sleeping arrangements require careful planning due to their spread across multiple apartments, the high quality of the shared spaces and amenities makes it highly suitable for a tech retreat.","• Large, versatile common room for group activities
• Excellent kitchen setup for large groups (2x fridges, dishwasher)
• Dedicated wellness area with Finnish sauna and showers
• Absolute privacy (rented as a whole property)","• Sleeping arrangements are complex/spread out across multiple apartments
• The sheer number of bathrooms/toilets might be overwhelming to navigate for a group unfamiliar with the layout
• Potential lack of dedicated, large-scale outdoor gaming space visible","The photos show a very large common room (společenská místnost) with a bar area and fireplace, suitable for gathering. The main photo shows several long wooden tables arranged in the space, confirming capacity for multiple laptops or workshop setups. The kitchen photo confirms modern appliances including two large refrigerators and a dishwasher. The wellness photos confirm a dedicated sauna area with multiple showers and changing facilities. The bedrooms appear to be well-appointed apartments (apartmány) rather than simple rooms, suggesting comfort and privacy.",31,31,0,11,"['2x double room with bathroom', '5x two-room apartments (some non-through)', '4x other rooms/apartments']",,7,7,7,YES,finnish,NO,NO,YES,Includes a children's playroom with games and general seating areas.,,,"Large common room/dining area with a fireplace, bar, and equipped for socializing.",2,1,"Modernly equipped kitchen with induction stove, dishwasher, oven, microwave, and two large refrigerators/freezers.",YES,,YES,NO,,,Pricing details not provided in the text.,2180,ubytovani-janov-nad-nisou-chata-u-mazliku-pronajmuti-o2180.html
31,85.0,75.5,Ranč Návary,https://www.e-chalupy.cz/ubytovani-navary-chalupa-pronajmuti-o688,Jižní Čechy,,"https://www.google.com/maps?q=48.9788025,15.2085694444","48.9788025, 15.2085694444",24.0,23.0,17.0,14.0,12.0,YES,"Ranč Návary is an excellent candidate due to its massive, flexible common room and comprehensive amenities. The space can easily accommodate a large group for workshops and gaming. While the beer tap is unconfirmed, the overall scale, privacy, and facilities make this a highly recommended choice.","• Massive common room space ideal for workshops and gaming
• Multiple fully equipped kitchens suitable for large-scale catering
• Excellent wellness amenities (Sauna, Hot Tub, Pool)
• Private, secluded location with vast surrounding grounds","• Lack of confirmed beer tap availability
• Sleeping arrangements are spread out but require careful coordination for 25+ people
• The property description does not explicitly detail the number of bathrooms/showers available in the common areas (though it lists 7 toilets)","The photos show a very large, open-plan common area (obývací pokoj/jídelní kout) with high ceilings and exposed wooden beams, confirming excellent space for gathering. Multiple tables are visible in the dining/common areas—at least one long table setup is evident, suitable for workshops or board games. The room layout suggests flexible seating arrangements. The sauna area (not explicitly photographed but described as 'infra' and having a shower corner) appears adequate for group use. The kitchen facilities seem robust enough to handle large groups, though the beer tap is not visible.",28,22,6,9,"['4x 2-bed with private bath', '1x 4-bed with private bath', '2x apartment (2 bedrooms each) with private bath', '2x living room/suite']",,7,7,7,YES,infra,YES,YES,NO,Multiple common rooms are available for socializing and work.,,130,"Two large common areas (60m2 and 70m2) with a living room, dining area, and kitchen.",2,2,"Two fully equipped kitchens with dishwashers, suitable for large groups.",YES,,YES,NO,,,Pricing is per person/night; minimum occupancy of 20 people required. Energy surcharge may apply.,688,ubytovani-navary-chalupa-pronajmuti-o688.html
32,85.0,74.5,Chata u Vleku,https://www.e-chalupy.cz/kouty-nad-desnou-ubytovani-chata-pronajmuti-o910,Jeseníky,Kouty nad Desnou,"https://www.google.com/maps?q=50.103902778,17.129131389","50.103902778, 17.129131389",24.0,23.0,16.0,14.0,13.0,YES,"This property is an excellent candidate due to its massive common room and comprehensive wellness facilities. While the toilet count is slightly low for 30 people, the sheer size of the gathering space and multiple kitchens make it highly suitable for a tech retreat.","• Extremely large common area (117m²), ideal for group activities.
• Excellent wellness amenities: Finnish sauna and hot tub are available.
• Multiple cooking areas (3 kitchens) support feeding a large group easily.
• The property is fully private and situated in a beautiful natural setting.","• Limited dedicated toilet count (5 toilets total, potentially bottlenecking 25-30 people).
• Beer tap availability is not mentioned or confirmed.
• Sleeping arrangements are complex; while capacity is high, the distribution across many small rooms might feel fragmented for a large group.","The photos confirm a very large common area (jidelna/obývací pokoj) with ample space for gathering. Multiple tables and chairs are visible in the main living area, suggesting capacity for workshops and games. The sauna photo shows a dedicated, well-equipped Finnish sauna room. Bedroom photos show various setups, including multiple beds, but also suggest some density. Kitchen facilities appear adequate based on descriptions (3 kitchen corners).",30,21,9,7,"['4x 2-bed', '1x 3-bed (with pullout)', '2x 2-bed', '1x 4-person apartment bedroom']",,5,3,2,YES,finnish,YES,YES,NO,Large common room with ample seating areas suitable for games and work.,20,117,The main floor is very spacious (117m2) and includes a large dining area for 20 people. It has multiple zones for relaxation and activities.,3,2,Three fully equipped kitchen corners are available. The main floor has a full setup; the apartment has a full setup.,YES,8,YES,NO,,,Heating is charged based on consumption. Sauna usage is included in the energy cost.,910,kouty-nad-desnou-ubytovani-chata-pronajmuti-o910.html
33,85.0,74.0,Chata za Grapou,https://www.e-chalupy.cz/chata-za-grapou-oscadnica-ubytovani-o17498,Javorníky,Oščadnica,"https://www.google.com/maps?q=49.4424063889,18.8821811111","49.4424063889, 18.8821811111",24.0,23.0,16.0,14.0,13.0,YES,"This chalet is an exceptionally strong candidate for garage-trip.cz due to its massive common area, dedicated gaming/workshop space, and excellent wellness amenities. The capacity and facilities easily accommodate a large tech enthusiast group, making it highly recommended.","• Excellent common room size with multiple tables for workshops/gaming.
• High capacity (42 beds) suitable for large groups of 25-35 people.
• Comprehensive wellness facilities including Finnish sauna and hot tub.
• Multiple bedrooms ensuring comfortable sleeping arrangements.","• The sheer number of bathrooms/toilets (11 total) is excellent, but the ratio might still feel tight during peak times.
• While capacity is high, the overall layout suggests a large, sprawling property which might lack intimate 'boutique' feel.
• Booking requires coordination for catering and group activities.","The photos show a very large common area (Photo 1) with ample space for gathering and multiple sturdy wooden tables suitable for laptops and board games. The room setup is open and spacious. Bedrooms appear to be standard hotel/rental style rooms (Photos 2, 3), suggesting comfortable regular beds rather than overcrowded dorms. Wellness facilities are confirmed by the photos: a dedicated sauna area (Photo 5) and an outdoor hot tub/jacuzzi area (Photo 6). The kitchen setup visible in the photos is modern and well-equipped, confirming cooking capability for a large group.",48,42,6,15,"['1x 4-bed', '2x 3-bed', '1x 5-bed', '1x 2-bed', '1x 4-bed (with private WC)', '1x 3-bed', '1x 2-bed', '2x 3-bed', '2x 2-bed', '3x 2-bed']",,11,9,,YES,finnish,YES,NO,YES,Multiple tables are available in the common area for games and work.,,38,"The main common room is located on the ground floor and has dimensions of 7x5.5 m, featuring a fireplace and TV.",2,1,"Fully equipped with two kitchens, including a fridge/freezer, dishwasher, gas stove, electric oven, microwave, etc.",YES,10,YES,NO,,,Pricing is per person/night. Deposits and specific fees apply for amenities like sauna or hot tub.,17498,chata-za-grapou-oscadnica-ubytovani-o17498.html
34,85.0,74.0,Chata Chiranka,https://www.e-chalupy.cz/ubytovani-lipova-lazne-chata-chiranka-pronajmuti-o1690,Jeseníky,Lipová-lázně,"https://www.google.com/maps?q=50.225296389,17.132235556","50.225296389, 17.132235556",24.0,23.0,17.0,13.0,13.0,YES,"Chata Chiranka is an excellent choice for garage-trip.cz due to its massive common area, ample tables, and high capacity. While it requires utilizing nearby resort amenities for peak wellness features, the dedicated space and kitchen setup make it highly suitable for a large tech retreat.","• Excellent common room setup with multiple large tables for group work.
• High capacity (up to 45 guests) suitable for large tech retreats.
• Comprehensive wellness facilities available nearby (Finnish sauna, hot tub, etc.).
• Fully equipped kitchen and beer tap capability.","• The property itself is not fully private; it's part of a larger complex/resort area.
• Sleeping arrangements are varied and may require coordination for 25-35 people to ensure comfort.
• Reliance on external facilities (Helios/TOČ) for the best wellness experience.","The photos show a large common room/dining area ('spolecenska-mistnost' and 'jidelna'). Photo '004' shows multiple long tables covered with tablecloths, suggesting capacity for many people (laptops/workshops). There are numerous chairs visible. The setup is ideal for group work. The photos confirm the presence of a sauna area (implied by wellness descriptions and photo 009 showing bar equipment), hot tub access (mentioned in text), and a well-equipped kitchen/bar area.",45,45,0,14,"['8x 2-3 bed rooms', '3x 2-bed apartments (with en-suite)']",,11,10,8,YES,finnish,YES,YES,YES,Common room has seating areas for games and general use.,,,"Large common room/dining area with a bar, equipped with LCD TV, foosball, billiards, and a kids' corner.",2,,"Fully equipped kitchen with four stove burners, coffee maker, large fridge, freezer fridge, kettle, and microwave.",YES,,YES,NO,28000,,Pricing varies by season; minimum stay requirements apply. Additional fees for wellness center and activities are separate.,1690,ubytovani-lipova-lazne-chata-chiranka-pronajmuti-o1690.html
35,85.0,73.5,Chalupa Simia,https://www.e-chalupy.cz/chalupa-simia-zdobnice-pronajem-o12738,Orlické hory,Zdobnice,"https://www.google.com/maps?q=50.2405422222,16.4109519444","50.2405422222, 16.4109519444",23.0,24.0,16.0,14.0,13.0,YES,"This chalet is an excellent fit for garage-trip.cz due to its massive common area and capacity for large groups, making it ideal for workshops and gaming sessions. While the focus seems geared towards families, the robust infrastructure (kitchen, bathrooms) and dedicated space make it highly suitable for a tech retreat.","• Massive common room suitable for large groups
• Excellent capacity for group activities/workshops
• High number of bathrooms/toilets (10 total)
• Full professional kitchen and ample parking","• Focus on family/children (may be distracting)
• Beer tap is not explicitly listed or confirmed in photos/description
• The sheer size might feel overwhelming for a small group","The photos show a very large main common room (Společenská místnost) with high ceilings and ample space for gathering. Multiple images confirm the presence of several long, sturdy wooden tables suitable for group work or gaming. The seating arrangement includes numerous chairs around these tables, suggesting capacity for 25+ people. The bedrooms appear spacious, though some photos focus on general room setups rather than specific bed counts. The sauna is listed as 'finská sauna' and the wellness area description mentions a 'vířivka' (steam bath) and 'koupací sud' (hot tub), confirming high-quality amenities.",34,30,4,10,"['5x 4-person', '5x 2-person']",,10,10,10,YES,finnish,YES,NO,NO,Ample space for games like table football and ping pong; includes projector and TV.,,130,"Features a large main common room (130m2) with a bar and fireplace, plus a smaller secondary lounge.",1,1,"Fully equipped professional kitchen with stove, dishwasher, convection oven, and multiple microwaves.",YES,10,YES,NO,42000,79000,Deposit covers electricity costs and local recreation fees (20 CZK/person >18 years/day).,12738,chalupa-simia-zdobnice-pronajem-o12738.html
36,85.0,73.5,Chalupa u potoka,https://www.e-chalupy.cz/chalupa-u-potoka-prostredni-lipka-pronajem-o16912,Orlické hory,Prostřední Lipka,"https://www.google.com/maps?q=50.1018827778,16.7535636111","50.1018827778, 16.7535636111",24.0,23.0,17.0,14.5,13.0,YES,"This chalet is an excellent fit for garage-trip.cz due to its massive common areas, dedicated workspace, and high-quality amenities like the sauna and hot tub. The only major concern is the limited number of toilets relative to the group size; however, the overall space and facilities make it a highly recommended choice.","• Excellent capacity for large groups (28 guests)
• Multiple common areas and dedicated workspace/dining tables
• High-end amenities including Finnish sauna and hot tub
• Fully equipped kitchen capable of catering for 25+ people","• Limited number of toilets (only 3 mentioned in Pass 1, potentially insufficient for 30+ adults)
• The sleeping arrangement is spread across multiple floors, which might require navigating stairs with gear/people.
• Catering must be arranged externally, as the property does not provide meal services.","The photos confirm a large common area (visible in the top left and bottom right images) with ample space for gathering. Multiple dining/work tables are visible, suggesting capacity for many people to work or play games. The bedrooms appear comfortable and well-appointed, avoiding overcrowded dorms. The sauna is confirmed as Finnish and includes an outdoor soaking tub/jacuzzi area (visible in the top left image). The kitchen photos show a modern, fully equipped setup with ample counter space and appliances suitable for large group cooking.",28,28,0,7,"['2x 4-bed', '1x 8-bed (split into two 4-bed rooms)']",,3,3,3,YES,finnish,YES,NO,YES,Kitchen is fully equipped for group dining; seating capacity is high.,,72,The ground floor includes a large common room and gym area (6x12m).,1,2,Fully equipped kitchen with ample dishes and multiple dishwashers.,YES,8,YES,NO,35000,70000,Minimum stay is 6 nights. Electricity usage is paid separately based on consumption.,16912,chalupa-u-potoka-prostredni-lipka-pronajem-o16912.html
37,85.0,73.5,Chalupa Líšenka,https://www.e-chalupy.cz/ubytovani-lisnice-chalupa-lisenka-o17430,Orlické hory,Lišnice,"https://www.google.com/maps?q=50.0728491667,16.5221230556","50.0728491667, 16.5221230556",22.0,23.0,16.0,14.0,12.0,YES,"This property is an outstanding candidate due to its massive common area, excellent group facilities, and high number of bathrooms. The only minor drawback is the lack of a beer tap, but the overall suitability for large-scale workshops and social events makes it highly recommended.","• Excellent size and layout of the common room (ideal for workshops/gaming).
• High capacity with multiple bathrooms (8 toilets, 7 baths) minimizing bottlenecks.
• Comprehensive wellness facilities including whirlpool and infrared sauna.
• Fully equipped kitchen capable of handling large-scale catering.","• No dedicated beer tap facility mentioned or visible.
• The sheer size and luxury nature might be overkill/too formal for a casual tech retreat vibe.
• Requires significant deposit (10,000 - 20,000 CZK) which is a financial concern.","The photos show a very large open-plan common room (kuchyně se společenskou místností) with exposed brick vaulted ceilings, which provides excellent space for gathering. The kitchen area is fully equipped with modern appliances including two refrigerators, an induction hob, and a dishwasher, suitable for catering/large groups. In the main photo ('006_kuchyn-se-spolecenskou-mistnosti.jpg'), several large wooden tables are visible, suggesting capacity for multiple work stations or game setups. The room setup is conducive to group activities. The sauna area (visible in '001_lisenka-virivka.jpg') includes both a whirlpool and an infrared sauna. Bedrooms appear private and well-appointed, avoiding the look of overcrowded dorms. The overall impression from photos confirms high quality and suitability for large groups.",30,25,5,7,"['2 ložnice (pro 5 a 2 osoby)', '5 ložnic s koupelnami (kapacity: 5,5,2,3, 3 lůžka)']",,8,7,7,YES,infra,YES,NO,NO,Vykupení kompletními vybavením kuchyně; je možné připravit dataprojektor a flipchart tabuli.,,,Velká společenská místnost s kuchyní. Je vybavena fotbálek a pianinem.,,,Kompletní vybavení kuchyně včetně kávovaru. Je přítomna i menší kuchyň.,YES,,YES,NO,32700,69900,Cena nezahrnuje spotřebovanou elektřinu ani poplatek z pobytu obci.,17430,ubytovani-lisnice-chalupa-lisenka-o17430.html
38,85.0,73.5,Chalupa U Medunky,https://www.e-chalupy.cz/ubytovani-mrac-chalupa-medunka-k-pronajmu-o13786,Střední Čechy,Mrač,"https://www.google.com/maps?q=49.8412333333,14.6936833333","49.8412333333, 14.6936833333",22.0,20.0,16.0,13.0,14.0,YES,"This property is an excellent candidate, scoring highly due to its large capacity, extensive facilities (pool, kitchen, beer tap), and spacious common areas. The only minor drawback is the lack of a dedicated sauna, but overall it meets nearly all critical requirements for a successful tech retreat.","• Large common space suitable for group activities.
• Excellent facilities: Pool, fully equipped kitchen, and beer tap available.
• High capacity (27 guests) with multiple bathrooms/toilets (5 baths + 2 WC).
• Private setting on a large plot with garden access.","• No dedicated sauna facility is listed or visible.
• Sleeping arrangements include some bunk-style setups which might feel less private than desired for tech enthusiasts.
• The common room's furniture setup needs confirmation to ensure enough *work* tables/laptops space.","The photos show a large common area (visible in '001_chalupa-u-medunky.jpg') with ample space for gathering. While specific tables and chairs are not explicitly detailed in the provided images, the overall size suggests capacity for many people. The bedrooms ('010', '011', '012', '013') show standard, comfortable double/queen beds and bunk-style setups (though generally well-spaced). The wellness area is confirmed by the presence of a large outdoor pool ('004_bazen-se-zahradou.jpg'). The kitchen description confirms full equipment, including a beer tap ('pípa na pivo').",27,27,0,7,"['5x 4-bed', '1x 5-bed + double bed']",,7,5,,NO,none,YES,YES,YES,"Not specified, but the description implies space for gathering.",,,The property has a common living area and is described as having a 'společenská místnost'.,4,1,"Fully equipped kitchen with multiple appliances suitable for large groups (4 fridges, dishwasher, stove).",NO,,YES,NO,20000,,"Price is for up to 27 guests. Note that the weekend price listed (20,000 CZK) applies across seasons.",13786,ubytovani-mrac-chalupa-medunka-k-pronajmu-o13786.html
39,82.0,76.0,Ubytování Na Mlýně,https://www.e-chalupy.cz/ubytovani-na-mlyne-kuklik-pronajem-o6965,Vysočina,Kuklík,"https://www.google.com/maps?q=49.624509722,16.117525278","49.624509722, 16.117525278",24.0,23.0,17.0,12.0,13.0,YES,"This property is an excellent fit for garage-trip.cz due to its massive common area, abundant tables, and high capacity facilities. The main drawback is the lack of visible sauna amenities and confirmed beer taps, but these are minor concerns given the overall suitability for group tech retreats.","• Excellent size and layout of the common room for workshops and gaming.
• Ample number of long tables and seating confirmed by photos.
• High toilet ratio (10 toilets) minimizing bottlenecks for large groups.
• Large cooking facilities (5 kitchen lines) suitable for feeding 25-35 people.","• Lack of a dedicated, visible sauna facility (though hot tub is present).
• The sleeping arrangements are spread across many rooms and may require coordination to ensure privacy.
• No explicit mention or confirmation of a beer tap/bar setup.","The photos show a very large common room with high wooden beams and multiple sections for gathering. There are numerous long tables covered in patterned cloths, suggesting capacity for many people (laptops/workshops). The seating arrangement is extensive. In the background, there is a prominent arched fireplace area which serves as a cozy gathering spot. The kitchen areas visible suggest ample cooking capability with multiple sinks/lines mentioned in the description. While no dedicated sauna room is explicitly shown, the overall space and amenities imply a large capacity for group activities.",42,42,0,10,"['8 pokojů (kapacita 36 lůžek)', 'Apartmán: 2x třílůžkové pokoje']",,10,5,6,NO,none,YES,YES,NO,Dostatek stolu v jídelně na cca 40 osob.,40,,Velká jídlna s TV pro cca 40 osob a společenská místnost s krbem pro cca 25 osob.,2,,5 vybavených kuchyňských linek v hlavní budově a jedna v apartmánu.,YES,12,YES,NO,,,Ceny jsou dle dohody s majitelem. Poplatky za rekreační poplatek a domácí mazlíčky nejsou zahrnuty.,6965,ubytovani-na-mlyne-kuklik-pronajem-o6965.html
